State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Meghalaya,2019-20,492.0,378.0,870.0,10.0,23.0,33.0,4146.0,6139.0,10285.0,33881.0,39321.0,73202.0,114.0,70.0,184.0,1083.0,1666.0,2749.0,48.0,48.0,96.0,70.0,52.0,122.0,39844.0,47697.0,87541.0
Mizoram,2023-24,760.0,708.0,1468.0,,,,2255.0,2775.0,5030.0,14869.0,13705.0,28574.0,41.0,17.0,58.0,4299.0,5426.0,9725.0,271.0,251.0,522.0,,,,22495.0,22882.0,45377.0
Mizoram,2022-23,667.0,579.0,1246.0,,,,2522.0,3063.0,5585.0,16401.0,15075.0,31476.0,20.0,9.0,29.0,4563.0,5699.0,10262.0,3.0,3.0,6.0,5.0,2.0,7.0,24181.0,24430.0,48611.0
Mizoram,2021-22,634.0,565.0,1199.0,,,,2398.0,3210.0,5608.0,16905.0,16249.0,33154.0,39.0,16.0,55.0,3200.0,3530.0,6730.0,,,,15.0,10.0,25.0,23191.0,23580.0,46771.0
Mizoram,2020-21,551.0,436.0,987.0,56.0,59.0,115.0,1992.0,2478.0,4470.0,15802.0,14971.0,30773.0,61.0,42.0,103.0,710.0,1480.0,2190.0,0.0,20.0,20.0,29.0,23.0,52.0,19201.0,19509.0,38710.0
Mizoram,2019-20,479.0,388.0,867.0,75.0,77.0,152.0,1982.0,2239.0,4221.0,13503.0,11793.0,25296.0,90.0,113.0,203.0,676.0,1285.0,1961.0,304.0,159.0,463.0,47.0,26.0,73.0,17156.0,16080.0,33236.0
Nagaland,2023-24,405.0,467.0,872.0,,,,2704.0,4415.0,7119.0,18172.0,20572.0,38744.0,13.0,30.0,43.0,837.0,1562.0,2399.0,352.0,395.0,747.0,,,,22483.0,27441.0,49924.0
Nagaland,2022-23,343.0,357.0,700.0,,,,2956.0,4989.0,7945.0,17937.0,20612.0,38549.0,16.0,31.0,47.0,843.0,1558.0,2401.0,844.0,820.0,1664.0,,,,22939.0,28367.0,51306.0
Nagaland,2021-22,290.0,330.0,620.0,12.0,6.0,18.0,3276.0,5178.0,8454.0,18770.0,20444.0,39214.0,40.0,89.0,129.0,859.0,1343.0,2202.0,310.0,276.0,586.0,,,,23557.0,27666.0,51223.0
Nagaland,2020-21,279.0,314.0,593.0,23.0,30.0,53.0,2843.0,4252.0,7095.0,17600.0,19228.0,36828.0,42.0,71.0,113.0,859.0,1210.0,2069.0,98.0,99.0,197.0,6.0,0.0,6.0,21750.0,25204.0,46954.0
Nagaland,2019-20,270.0,307.0,577.0,10.0,28.0,38.0,2063.0,3503.0,5566.0,16982.0,19252.0,36234.0,65.0,168.0,233.0,842.0,1027.0,1869.0,17.0,21.0,38.0,6.0,0.0,6.0,20255.0,24306.0,44561.0
Odisha,2023-24,4569.0,3621.0,8190.0,17.0,21.0,38.0,60588.0,68580.0,129168.0,419619.0,432275.0,851894.0,1690.0,1204.0,2894.0,121143.0,56328.0,177471.0,886.0,1402.0,2288.0,7024.0,6964.0,13988.0,615536.0,570395.0,1185931.0
Odisha,2022-23,2450.0,1640.0,4090.0,,,,55500.0,58487.0,113987.0,403935.0,399412.0,803347.0,2140.0,1292.0,3432.0,111800.0,50010.0,161810.0,604.0,1035.0,1639.0,6667.0,6636.0,13303.0,583096.0,518512.0,1101608.0
Odisha,2021-22,2668.0,1550.0,4218.0,269.0,303.0,572.0,63227.0,56471.0,119698.0,402899.0,379256.0,782155.0,1920.0,1165.0,3085.0,103764.0,47170.0,150934.0,651.0,899.0,1550.0,5769.0,5898.0,11667.0,581167.0,492712.0,1073879.0
Odisha,2020-21,1955.0,1326.0,3281.0,352.0,378.0,730.0,48874.0,50344.0,99218.0,370312.0,368176.0,738488.0,2408.0,1394.0,3802.0,94732.0,50884.0,145616.0,1321.0,2268.0,3589.0,5929.0,6369.0,12298.0,525883.0,481139.0,1007022.0
Odisha,2019-20,1923.0,1423.0,3346.0,419.0,584.0,1003.0,47838.0,50717.0,98555.0,379994.0,367114.0,747108.0,1786.0,947.0,2733.0,89412.0,34712.0,124124.0,3402.0,5748.0,9150.0,4452.0,4458.0,8910.0,529226.0,465703.0,994929.0
Puducherry,2023-24,1132.0,1055.0,2187.0,1.0,7.0,8.0,17602.330645161288,18485.891129032258,36088.221774193546,34054.862903225796,38569.87096774193,72624.73387096773,37.0,21.0,58.0,2405.0,1166.0,3571.0,,,,548.0,949.0,1497.0,55780.193548387084,60253.76209677419,116033.95564516127
Puducherry,2022-23,375.0,325.0,700.0,,,,14309.07631578947,15069.7649122807,29378.84122807017,30198.49298245614,35163.24736842106,65361.7403508772,38.0,25.0,63.0,2556.0,1036.0,3592.0,16.0,4.0,20.0,566.0,942.0,1508.0,48058.56929824561,52565.01228070175,100623.5815789474
Puducherry,2021-22,325.0,278.0,603.0,,,,13198.0,13394.0,26592.0,28264.0,33817.0,62081.0,29.0,25.0,54.0,2438.0,1357.0,3795.0,11.0,8.0,19.0,556.0,943.0,1499.0,44821.0,49822.0,94643.0
Puducherry,2020-21,271.0,325.0,596.0,0.0,2.0,2.0,12865.0,13359.0,26224.0,26875.0,32921.0,59796.0,15.0,16.0,31.0,2806.0,1056.0,3862.0,1.0,6.0,7.0,354.0,381.0,735.0,43187.0,48066.0,91253.0
Puducherry,2019-20,291.0,217.0,508.0,21.0,46.0,67.0,11531.0,11728.0,23259.0,22863.0,28309.0,51172.0,52.0,54.0,106.0,2866.0,1122.0,3988.0,0.0,0.0,0.0,532.0,492.0,1024.0,38156.0,41968.0,80124.0
Punjab,2023-24,5444.0,7246.0,12690.0,,18.0,18.0,56609.0,65812.0,122421.0,341490.0,318360.0,659850.0,2717.0,3024.0,5741.0,42865.0,56113.0,98978.0,2488.0,3589.0,6077.0,11761.0,16128.0,27889.0,463374.0,470290.0,933664.0
Punjab,2022-23,3790.0,4882.0,8672.0,3.0,14.0,17.0,56380.60869565218,67277.25,123657.8586956522,338689.152173913,302757.7789855073,641446.9311594203,3323.0,3598.0,6921.0,53637.0,56448.0,110085.0,888.0,894.0,1782.0,10132.0,13232.0,23364.0,466842.7608695652,449103.0289855073,915945.7898550725
Punjab,2021-22,4946.0,5379.0,10325.0,28.0,41.0,69.0,46929.0,63149.0,110078.0,321099.0,292462.0,613561.0,2631.0,3183.0,5814.0,48756.0,47416.0,96172.0,748.0,952.0,1700.0,9479.0,11546.0,21025.0,434616.0,424128.0,858744.0
Punjab,2020-21,4628.0,4938.0,9566.0,142.0,169.0,311.0,43610.0,60696.0,104306.0,302634.0,284359.0,586993.0,1905.0,2394.0,4299.0,56209.0,52491.0,108700.0,617.0,696.0,1313.0,8499.0,9348.0,17847.0,418244.0,415091.0,833335.0
Punjab,2019-20,4111.0,4888.0,8999.0,307.0,315.0,622.0,39950.0,68143.0,108093.0,308617.0,312191.0,620808.0,2866.0,3692.0,6558.0,62421.0,46930.0,109351.0,600.0,948.0,1548.0,6459.0,7025.0,13484.0,425331.0,444132.0,869463.0
Rajasthan,2023-24,8882.0,10256.0,19138.0,29.0,84.0,113.0,160599.6396656988,189481.6860830846,350081.3257487834,1032947.8941434092,999523.1221244846,2032471.0162678938,7460.0,4941.0,12401.0,113813.0,60162.0,173975.0,1681.0,2082.0,3763.0,70199.0,75584.0,145783.0,1395611.5338091082,1342113.8082075692,2737725.3420166774
Rajasthan,2022-23,5572.0,6524.0,12096.0,14.0,48.0,62.0,141723.4314451408,178776.7525129004,320500.1839580412,1032187.589830693,962106.6586484808,1994294.248479174,7170.0,4171.0,11341.0,96879.0,49367.0,146246.0,1302.0,1696.0,2998.0,74005.0,73875.0,147880.0,1358853.021275834,1276564.411161381,2635417.432437215
Rajasthan,2021-22,6913.0,6915.0,13828.0,145.0,161.0,306.0,140674.0,169589.0,310263.0,1124079.0,978715.0,2102794.0,5357.0,3332.0,8689.0,86322.0,37439.0,123761.0,1869.0,1868.0,3737.0,64924.0,61038.0,125962.0,1430283.0,1259057.0,2689340.0
Rajasthan,2020-21,6588.0,6379.0,12967.0,166.0,104.0,270.0,113499.0,134819.0,248318.0,1014468.0,924253.0,1938721.0,7736.0,4554.0,12290.0,82769.0,36538.0,119307.0,3930.0,3916.0,7846.0,49148.0,43923.0,93071.0,1278304.0,1154486.0,2432790.0
Rajasthan,2019-20,5478.0,5372.0,10850.0,261.0,203.0,464.0,115851.0,130222.0,246073.0,907391.0,853674.0,1761065.0,5382.0,3845.0,9227.0,80436.0,30826.0,111262.0,6419.0,6578.0,12997.0,29968.0,24611.0,54579.0,1151186.0,1055331.0,2206517.0
Sikkim,2023-24,226.0,173.0,399.0,,,,2882.0,3998.0,6880.0,13048.0,13010.0,26058.0,24.0,12.0,36.0,1751.0,1309.0,3060.0,4.0,4.0,8.0,188.0,292.0,480.0,18123.0,18798.0,36921.0
Sikkim,2022-23,385.0,332.0,717.0,18.0,25.0,43.0,2265.777777777778,3570.777777777778,5836.555555555556,12176.77777777778,12555.0,24731.77777777778,21.0,16.0,37.0,1072.0,929.0,2001.0,41.0,6.0,47.0,167.0,271.0,438.0,16146.55555555556,17704.77777777778,33851.33333333334
Sikkim,2021-22,337.0,315.0,652.0,18.0,25.0,43.0,2421.0,3565.0,5986.0,12268.0,12538.0,24806.0,18.0,11.0,29.0,994.0,777.0,1771.0,50.0,5.0,55.0,168.0,251.0,419.0,16274.0,17487.0,33761.0
Sikkim,2020-21,115.0,80.0,195.0,34.0,30.0,64.0,2929.0,4001.0,6930.0,12295.0,12533.0,24828.0,32.0,11.0,43.0,1088.0,1179.0,2267.0,61.0,11.0,72.0,153.0,222.0,375.0,16707.0,18067.0,34774.0
Sikkim,2019-20,215.0,195.0,410.0,43.0,44.0,87.0,17445.0,10667.0,28112.0,14134.0,12730.0,26864.0,23.0,18.0,41.0,1035.0,1164.0,2199.0,34.0,6.0,40.0,120.0,198.0,318.0,33049.0,25022.0,58071.0
Tamil Nadu,2023-24,21211.0,27274.0,48485.0,336.0,557.0,893.0,200409.1101858348,279638.68640036834,480047.79658620316,1390410.0541483806,1361529.0121450978,2751939.0662934785,2789.0,2458.0,5247.0,182470.0,51057.0,233527.0,3840.0,22028.0,25868.0,15109.0,15931.0,31040.0,1816574.1643342152,1760472.6985454662,3577046.8628796814
Tamil Nadu,2022-23,11248.0,15362.0,26610.0,391.0,787.0,1178.0,198868.836544568,273417.6867304387,472286.5232750066,1302943.907380267,1289393.361347004,2592337.268727271,2609.0,2495.0,5104.0,201845.0,51660.0,253505.0,14566.0,11302.0,25868.0,13408.0,14692.0,28100.0,1745879.743924835,1659109.048077442,3404988.792002278
Tamil Nadu,2021-22,13457.0,15410.0,28867.0,925.0,3116.0,4041.0,198013.0,266073.0,464086.0,1243667.0,1248155.0,2491822.0,8126.0,6603.0,14729.0,213546.0,49168.0,262714.0,7290.0,9324.0,16614.0,13088.0,13366.0,26454.0,1698112.0,1611215.0,3309327.0
Tamil Nadu,2020-21,17443.0,16968.0,34411.0,1696.0,5007.0,6703.0,185725.0,278930.0,464655.0,1182067.0,1280466.0,2462533.0,9155.0,6392.0,15547.0,247335.0,61174.0,308509.0,6676.0,14108.0,20784.0,12056.0,11241.0,23297.0,1662153.0,1674286.0,3336439.0
Tamil Nadu,2019-20,15828.0,14832.0,30660.0,2470.0,7309.0,9779.0,184265.0,295673.0,479938.0,1260037.0,1330973.0,2591010.0,9095.0,6817.0,15912.0,284382.0,63535.0,347917.0,10615.0,12496.0,23111.0,11494.0,10490.0,21984.0,1778186.0,1742125.0,3520311.0
Telangana,2023-24,5528.0,3819.0,9347.0,13.0,43.0,56.0,102415.49810665619,141432.78418520672,243848.2822918629,709810.9160035144,721308.0924077182,1431119.0084112326,6197.0,5850.0,12047.0,41784.0,34644.0,76428.0,2119.0,1668.0,3787.0,6377.0,4451.0,10828.0,874244.4141101706,913215.8765929249,1787460.2907030955
Telangana,2022-23,4624.0,2606.0,7230.0,34.0,38.0,72.0,91115.13797361635,126029.4294508423,217144.5674244587,669112.3414574489,678078.3054187282,1347190.646876177,4079.0,3485.0,7564.0,42693.0,37059.0,79752.0,1820.0,1360.0,3180.0,5111.0,4318.0,9429.0,818588.4794310653,852973.7348695705,1671562.214300636
Telangana,2021-22,4442.0,2525.0,6967.0,57.0,43.0,100.0,89767.0,117315.0,207082.0,638370.0,633953.0,1272323.0,4386.0,3529.0,7915.0,50261.0,41291.0,91552.0,1532.0,1590.0,3122.0,4538.0,3081.0,7619.0,793353.0,803327.0,1596680.0
Telangana,2020-21,4228.0,2487.0,6715.0,106.0,74.0,180.0,86425.0,109813.0,196238.0,617563.0,634298.0,1251861.0,4791.0,3180.0,7971.0,56054.0,43630.0,99684.0,2276.0,2203.0,4479.0,3866.0,2792.0,6658.0,775309.0,798477.0,1573786.0
Telangana,2019-20,3507.0,2001.0,5508.0,203.0,170.0,373.0,81042.0,103478.0,184520.0,519501.0,559280.0,1078781.0,3310.0,2292.0,5602.0,60653.0,45728.0,106381.0,923.0,1290.0,2213.0,3629.0,2601.0,6230.0,672768.0,716840.0,1389608.0
D & N Haveli and Daman & Diu,2023-24,,2.0,2.0,,,,231.0,535.0,766.0,4596.0,5108.0,9704.0,40.0,17.0,57.0,1489.0,472.0,1961.0,,,,54.0,76.0,130.0,6410.0,6210.0,12620.0
D & N Haveli and Daman & Diu,2022-23,0.0,2.0,2.0,,,,268.0,641.0,909.0,4742.0,5273.0,10015.0,44.0,18.0,62.0,1502.0,397.0,1899.0,,,,51.0,71.0,122.0,6607.0,6402.0,13009.0
D & N Haveli and Daman & Diu,2021-22,,,,,,,305.0,543.0,848.0,4656.0,5103.0,9759.0,,,,1686.0,422.0,2108.0,,,,36.0,54.0,90.0,6683.0,6122.0,12805.0
D & N Haveli and Daman & Diu,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,259.0,508.0,767.0,4020.0,4681.0,8701.0,0.0,0.0,0.0,1647.0,397.0,2044.0,0.0,0.0,0.0,22.0,36.0,58.0,5948.0,5622.0,11570.0
D & N Haveli and Daman & Diu,2019-20,0.0,0.0,0.0,0.0,0.0,0.0,188.0,433.0,621.0,3436.0,4165.0,7601.0,0.0,0.0,0.0,1685.0,381.0,2066.0,0.0,0.0,0.0,11.0,26.0,37.0,5320.0,5005.0,10325.0
Tripura,2023-24,372.0,232.0,604.0,,,,4832.0,5331.0,10163.0,45733.0,45942.0,91675.0,71.0,36.0,107.0,2622.0,2548.0,5170.0,22.0,51.0,73.0,1391.0,1186.0,2577.0,55043.0,55326.0,110369.0
Tripura,2022-23,127.0,77.0,204.0,1.0,4.0,5.0,4326.0,5130.0,9456.0,44093.0,41382.0,85475.0,45.0,29.0,74.0,2411.0,2567.0,4978.0,19.0,9.0,28.0,1146.0,958.0,2104.0,52168.0,50156.0,102324.0
Tripura,2021-22,286.0,173.0,459.0,2.0,10.0,12.0,5209.0,5840.0,11049.0,44432.0,37731.0,82163.0,76.0,59.0,135.0,2409.0,2297.0,4706.0,18.0,18.0,36.0,1106.0,885.0,1991.0,53538.0,47013.0,100551.0
Tripura,2020-21,452.0,220.0,672.0,2.0,10.0,12.0,5919.0,6287.0,12206.0,38810.0,34214.0,73024.0,116.0,133.0,249.0,2243.0,2632.0,4875.0,15.0,13.0,28.0,871.0,723.0,1594.0,48428.0,44232.0,92660.0
Tripura,2019-20,388.0,227.0,615.0,0.0,0.0,0.0,5941.0,5877.0,11818.0,37816.0,30459.0,68275.0,67.0,64.0,131.0,2274.0,2126.0,4400.0,149.0,221.0,370.0,396.0,242.0,638.0,47031.0,39216.0,86247.0
Uttar Pradesh,2023-24,19145.0,16135.0,35280.0,9.0,56.0,65.0,384001.3582833412,491872.7263445886,875874.0846279298,2938158.137491143,2814870.9719692725,5753029.109460415,11271.0,8059.0,19330.0,280017.0,192501.0,472518.0,17949.0,16673.0,34622.0,48801.0,29579.0,78380.0,3699351.4957744842,3569746.698313861,7269098.194088345
Uttar Pradesh,2022-23,14232.0,10820.0,25052.0,19.0,67.0,86.0,384775.4375367675,478525.1908852058,863300.6284219733,3041322.031793292,2864997.960418404,5906319.992211696,12042.0,8295.0,20337.0,217314.0,116732.0,334046.0,12275.0,9096.0,21371.0,46821.0,27619.0,74440.0,3728800.46933006,3516152.151303609,7244952.620633669
Uttar Pradesh,2021-22,11988.0,9725.0,21713.0,15.0,62.0,77.0,348726.0,411389.0,760115.0,3033329.0,2745769.0,5779098.0,17801.0,9432.0,27233.0,217394.0,103605.0,320999.0,3435.0,2854.0,6289.0,36630.0,21270.0,57900.0,3669318.0,3304106.0,6973424.0
Uttar Pradesh,2020-21,11560.0,8246.0,19806.0,234.0,381.0,615.0,278090.0,353448.0,631538.0,2820340.0,2727844.0,5548184.0,30530.0,23307.0,53837.0,215020.0,112030.0,327050.0,8672.0,9459.0,18131.0,32566.0,19340.0,51906.0,3397012.0,3254055.0,6651067.0
Uttar Pradesh,2019-20,13693.0,10071.0,23764.0,217.0,320.0,537.0,237350.0,331801.0,569151.0,2636040.0,2765496.0,5401536.0,13318.0,11152.0,24470.0,198868.0,103325.0,302193.0,10660.0,14266.0,24926.0,26504.0,15133.0,41637.0,3136650.0,3251564.0,6388214.0
Uttarakhand,2023-24,4897.0,4248.0,9145.0,,,,50967.42957321521,66736.72654164178,117704.15611485699,234145.33939728915,241240.44388426642,475385.7832815556,397.0,375.0,772.0,22814.0,8572.0,31386.0,270.0,111.0,381.0,3851.0,2670.0,6521.0,317341.7689705044,323953.1704259082,641294.9393964126
Uttarakhand,2022-23,4367.0,2919.0,7286.0,,,,44361.3223009527,60690.59152682511,105051.9138277778,216847.233563972,214264.7835423253,431112.0171062973,474.0,420.0,894.0,20974.0,7987.0,28961.0,239.0,98.0,337.0,3465.0,2308.0,5773.0,290727.5558649247,288687.3750691504,579414.930934075
Uttarakhand,2021-22,2573.0,1900.0,4473.0,5.0,,5.0,41134.0,53023.0,94157.0,217701.0,216121.0,433822.0,560.0,419.0,979.0,20403.0,7638.0,28041.0,218.0,64.0,282.0,3555.0,2390.0,5945.0,286149.0,281555.0,567704.0
Uttarakhand,2020-21,4099.0,2533.0,6632.0,4.0,1.0,5.0,46493.0,61555.0,108048.0,227696.0,239419.0,467115.0,1231.0,1122.0,2353.0,20926.0,7946.0,28872.0,450.0,176.0,626.0,3951.0,2549.0,6500.0,304850.0,315301.0,620151.0
Uttarakhand,2019-20,3449.0,2019.0,5468.0,21.0,13.0,34.0,34137.0,45833.0,79970.0,184770.0,185154.0,369924.0,1096.0,1078.0,2174.0,21760.0,7924.0,29684.0,294.0,79.0,373.0,3366.0,2286.0,5652.0,248893.0,244386.0,493279.0
West Bengal,2023-24,10214.0,6765.0,16979.0,77.0,53.0,130.0,103879.44091226233,152849.2265436944,256728.66745595675,949842.5303069946,1001242.5120966336,1951085.0424036281,2559.0,1955.0,4514.0,119548.0,80489.0,200037.0,3421.0,3518.0,6939.0,9945.0,7122.0,17067.0,1199485.971219257,1253993.738640328,2453479.709859585
West Bengal,2022-23,7931.0,4640.0,12571.0,313.0,262.0,575.0,130707.5,186439.6666666667,317147.1666666667,1086423.166666667,1048737.166666667,2135160.333333333,3010.0,2048.0,5058.0,117229.0,77824.0,195053.0,5265.0,5237.0,10502.0,9922.0,6880.0,16802.0,1360800.666666667,1332067.833333333,2692868.5
West Bengal,2021-22,8683.0,5103.0,13786.0,688.0,614.0,1302.0,126244.0,177120.0,303364.0,1106488.0,1080500.0,2186988.0,3130.0,2013.0,5143.0,117513.0,72433.0,189946.0,3291.0,2115.0,5406.0,9590.0,6626.0,16216.0,1375627.0,1346524.0,2722151.0
West Bengal,2020-21,8757.0,5173.0,13930.0,1003.0,963.0,1966.0,79405.0,108051.0,187456.0,863390.0,929778.0,1793168.0,3440.0,2372.0,5812.0,116868.0,74479.0,191347.0,3381.0,3119.0,6500.0,9939.0,5418.0,15357.0,1086183.0,1129353.0,2215536.0
West Bengal,2019-20,8063.0,4773.0,12836.0,1195.0,983.0,2178.0,62665.0,90360.0,153025.0,865130.0,924953.0,1790083.0,3390.0,2129.0,5519.0,114991.0,58776.0,173767.0,4859.0,3695.0,8554.0,9336.0,5595.0,14931.0,1069629.0,1091264.0,2160893.0
