State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Haryana,2021-22,1784.0,2385.0,4169.0,16.0,32.0,48.0,57199.0,98973.0,156172.0,405310.0,417253.0,822563.0,1801.0,1734.0,3535.0,63957.0,31839.0,95796.0,298.0,522.0,820.0,11781.0,9648.0,21429.0,542146.0,562386.0,1104532.0
Haryana,2020-21,2046.0,2502.0,4548.0,104.0,142.0,246.0,50192.0,80377.0,130569.0,392179.0,389514.0,781693.0,1596.0,1331.0,2927.0,61163.0,28798.0,89961.0,693.0,991.0,1684.0,9840.0,7691.0,17531.0,517813.0,511346.0,1029159.0
Haryana,2019-20,1810.0,2356.0,4166.0,80.0,230.0,310.0,41587.0,69928.0,111515.0,354321.0,368329.0,722650.0,2059.0,1672.0,3731.0,49706.0,21579.0,71285.0,1621.0,1778.0,3399.0,9303.0,7182.0,16485.0,460487.0,473054.0,933541.0
Himachal Pradesh,2023-24,1252.0,1198.0,2450.0,11.0,1.0,12.0,20836.573898281593,24632.213614256678,45468.78751253827,120725.48467789829,144116.65797632246,264842.14265422075,577.0,786.0,1363.0,9512.0,9602.0,19114.0,183.0,121.0,304.0,1333.0,1285.0,2618.0,154430.05857617987,181741.87159057913,336171.930166759
Himachal Pradesh,2022-23,965.0,976.0,1941.0,11.0,1.0,12.0,17483.18918010753,21603.8006672427,39086.98984735023,120207.7165418587,138775.8077476959,258983.5242895545,747.0,917.0,1664.0,9049.0,9910.0,18959.0,184.0,223.0,407.0,1531.0,1183.0,2714.0,150177.9057219662,173589.6084149386,323767.5141369047
Himachal Pradesh,2021-22,1028.0,1055.0,2083.0,44.0,38.0,82.0,15071.0,18862.0,33933.0,119249.0,141142.0,260391.0,970.0,917.0,1887.0,8944.0,9189.0,18133.0,333.0,204.0,537.0,1504.0,1101.0,2605.0,147143.0,172508.0,319651.0
Himachal Pradesh,2020-21,1100.0,1012.0,2112.0,136.0,134.0,270.0,13471.0,16133.0,29604.0,107717.0,128469.0,236186.0,730.0,753.0,1483.0,8214.0,8687.0,16901.0,324.0,236.0,560.0,1504.0,965.0,2469.0,133196.0,156389.0,289585.0
Himachal Pradesh,2019-20,1027.0,897.0,1924.0,118.0,214.0,332.0,12488.0,16079.0,28567.0,107453.0,129428.0,236881.0,1049.0,1240.0,2289.0,8515.0,8198.0,16713.0,591.0,678.0,1269.0,990.0,523.0,1513.0,132231.0,157257.0,289488.0
Jammu and Kashmir,2023-24,2461.0,2799.0,5260.0,,,,22059.0,38099.0,60158.0,120638.0,132005.0,252643.0,544.0,415.0,959.0,10457.0,11215.0,21672.0,181.0,800.0,981.0,4867.0,5947.0,10814.0,161207.0,191280.0,352487.0
Jammu and Kashmir,2022-23,1788.0,2085.0,3873.0,,,,25877.0,41663.0,67540.0,146544.0,143979.0,290523.0,594.0,406.0,1000.0,9448.0,10836.0,20284.0,695.0,800.0,1495.0,5379.0,6217.0,11596.0,190325.0,205986.0,396311.0
